 Site ID , X [m] , Y [m] , El [m] ,Rx,DR,Ht,U,U(w),p,Grs,Net,Wk
T1,402919.3,3403293,0,0,0,110,8.06,7.68,1.197,28.314,25.976,8.26
T2,403435.2,3403287,0,0,0,110,8.06,7.62,1.197,28.314,25.597,9.6
T3,403961.2,3403280,0,0,0,110,8.06,7.61,1.197,28.312,25.531,9.82
T4,404507.6,3403273,0,0,0,110,8.06,7.62,1.197,28.309,25.538,9.79
T5,405053.9,3403266,0,0,0,110,8.06,7.61,1.197,28.308,25.458,10.07
T6,405579.9,3403260,0,0,0,110,8.06,7.64,1.197,28.305,25.692,9.23
T7,406095.9,3403253,0,0,0,110,8.06,7.69,1.197,28.298,25.958,8.27
T8,406609.8,3403207,0,0,0,110,8.06,7.83,1.197,28.303,26.885,5.01
T9,402947.2,3402179,0,0,0,110,8.06,7.66,1.197,28.313,25.725,9.14
T10,404055,3402125,0,0,0,110,8.06,7.6,1.197,28.308,25.298,10.63
T11,405163.1,3402111,0,0,0,110,8.06,7.63,1.197,28.307,25.531,9.81
T12,402875,3399626,0,0,0,110,8.06,7.64,1.197,28.306,25.79,8.89
T13,403390.4,3399599,0,0,0,110,8.06,7.57,1.197,28.303,25.329,10.51
T14,403925.7,3399571,0,0,0,110,8.06,7.55,1.197,28.303,25.129,11.21
T15,404485,3399541,0,0,0,110,8.06,7.52,1.197,28.302,24.953,11.83
T16,405074.2,3399510,0,0,0,110,8.06,7.52,1.197,28.299,24.954,11.82
T17,405708.9,3399477,0,0,0,110,8.06,7.53,1.197,28.3,25,11.66
T18,406297.6,3399446,0,0,0,110,8.06,7.53,1.197,28.298,24.995,11.67
T19,406856.9,3399417,0,0,0,110,8.06,7.54,1.197,28.299,25.069,11.41
T20,407392.2,3399389,0,0,0,110,8.06,7.53,1.197,28.293,25.023,11.56
T21,407907.6,3399361,0,0,0,110,8.06,7.56,1.197,28.295,25.205,10.92
T22,408396.9,3399197,0,0,0,110,8.06,7.6,1.197,28.291,25.42,10.15
T23,408883.5,3399013,0,0,0,110,8.06,7.62,1.197,28.289,25.513,9.81
T24,409375.2,3398869,0,0,0,110,8.05,7.66,1.197,28.282,25.781,8.84
T25,409752.1,3398516,0,0,0,110,8.05,7.76,1.197,28.283,26.351,6.83
T26,403573.4,3397839,0,0,0,110,8.06,7.6,1.197,28.295,25.493,9.9
T27,404089.2,3397820,0,0,0,110,8.06,7.55,1.197,28.294,25.131,11.18
T28,404612.9,3397802,0,0,0,110,8.06,7.49,1.197,28.295,24.781,12.42
T29,405151.6,3397782,0,0,0,110,8.06,7.47,1.197,28.292,24.643,12.9
T30,405705.3,3397763,0,0,0,110,8.06,7.46,1.197,28.289,24.528,13.3
T31,406274,3397742,0,0,0,110,8.06,7.43,1.197,28.288,24.348,13.93
T32,406857.7,3397722,0,0,0,110,8.06,7.45,1.197,28.287,24.428,13.64
T33,407456.2,3397700,0,0,0,110,8.05,7.47,1.197,28.284,24.564,13.15
T34,408069.8,3397678,0,0,0,110,8.05,7.47,1.197,28.282,24.568,13.13
T35,408620.2,3397518,0,0,0,110,8.05,7.51,1.197,28.282,24.816,12.25
T36,409256.5,3397405,0,0,0,110,8.05,7.58,1.197,28.282,25.247,10.73
T37,409740.8,3397227,0,0,0,110,8.05,7.74,1.197,28.279,26.273,7.09
T38,404883.4,3396046,0,0,0,110,8.05,7.6,1.197,28.283,25.451,10.01
T39,405397.9,3396006,0,0,0,110,8.06,7.57,1.197,28.286,25.261,10.69
T40,405922.8,3396006,0,0,0,110,8.05,7.59,1.197,28.282,25.373,10.28
T41,406477,3396006,0,0,0,110,8.05,7.59,1.197,28.281,25.369,10.3
T42,407052.1,3396006,0,0,0,110,8.05,7.58,1.197,28.283,25.36,10.34
T43,407626.3,3396006,0,0,0,110,8.05,7.59,1.197,28.278,25.362,10.31
T44,408181.4,3396006,0,0,0,110,8.05,7.59,1.197,28.274,25.409,10.13
T45,408698.1,3396006,0,0,0,110,8.05,7.62,1.197,28.277,25.567,9.58
T46,409214.1,3396006,0,0,0,110,8.05,7.7,1.197,28.267,26.046,7.86
T47,409730.1,3396006,0,0,0,110,8.05,7.87,1.197,28.256,27.141,3.95
