 Site ID ,U_multi,U(w)_multi,Grs_multi,Net_multi,Wk_multi
T1,7.915386083,7.530866898,27.71385224,25.33111231,8.597649687
T2,7.924615428,7.497307731,27.75342325,25.09057708,9.594658456
T3,7.933945621,7.495763219,27.78966217,25.06499272,9.804615231
T4,7.943494912,7.518058048,27.82623204,25.14333901,9.641596545
T5,7.952837168,7.51958136,27.86394401,25.11976731,9.84848628
T6,7.961586003,7.560038627,27.89688946,25.39152977,8.980785097
T7,7.969888579,7.613968488,27.92347441,25.67217784,8.062379836
T8,7.977865006,7.75813188,27.9618831,26.58854401,4.911468559
T9,7.913374868,7.508792833,27.7045057,25.03952751,9.619295225
T10,7.933920905,7.46210099,27.78516575,24.67233249,11.20322005
T11,7.953896997,7.520581278,27.86700411,25.03165274,10.17458266
T12,7.904938243,7.475246883,27.66104,25.0481264,9.446187122
T13,7.915234764,7.411663024,27.7008671,24.60291186,11.18360383
T14,7.925864111,7.399097125,27.74591689,24.4361043,11.92900779
T15,7.936817708,7.389118815,27.78925371,24.36095511,12.33677822
T16,7.948103337,7.404606566,27.83462885,24.42948439,12.23348253
T17,7.9598687,7.4298687,27.88257764,24.55566736,11.93186057
T18,7.97033211,7.44033211,27.92419698,24.60326341,11.89267351
T19,7.979810512,7.462316434,27.9637077,24.73120178,11.55964708
T20,7.988413332,7.460650415,27.99300712,24.71472991,11.71105767
T21,7.996230087,7.492244467,28.02696708,24.89790801,11.16445837
T22,8.003018181,7.537676135,28.05185443,25.13313215,10.40473913
T23,8.009307309,7.564554869,28.07593228,25.26397215,10.01555389
T24,8.006672384,7.612479389,28.09443335,25.56659818,8.997637136
T25,8.010420082,7.720420082,28.11178494,26.18553041,6.852124589
T26,7.913678315,7.44453321,27.68593599,24.78745513,10.46914528
T27,7.924110639,7.392877926,27.72836053,24.41206035,11.95995768
T28,7.934549873,7.348868607,27.77202978,24.10160916,13.21624907
T29,7.945047165,7.340678061,27.81243114,24.02153624,13.63021767
T30,7.955519461,7.345724411,27.85344675,24.00951533,13.80055927
T31,7.96586158,7.33586158,27.89408955,23.92849567,14.21660985
T32,7.975984045,7.363358546,27.93544574,24.04178916,13.93805067
T33,7.978097656,7.391139364,27.9720366,24.20773548,13.45737236
T34,7.98516215,7.395031236,28.00907318,24.2122023,13.55586046
T35,7.994400807,7.445433195,28.04059189,24.50984574,12.5915536
T36,8.000690041,7.524526296,28.07397361,24.98519494,11.00228531
T37,8.00606259,7.693316502,28.09377636,26.06127661,7.234697553
T38,7.928066567,7.466266557,27.75671957,24.84605284,10.48634989
T39,7.9439195,7.446664469,27.80027566,24.69220555,11.17999744
T40,7.947063026,7.473780836,27.83704663,24.84735732,10.73996586
T41,7.953720891,7.484694724,27.87632687,24.88158701,10.74295001
T42,7.963591261,7.485490442,27.91900319,24.91688519,10.75295554
T43,7.972904384,7.503267432,27.95251195,24.95483878,10.7241638
T44,7.981356533,7.510630991,27.98398135,25.0308174,10.55305146
T45,7.988714964,7.54722402,28.01711315,25.21844136,9.989151172
T46,7.995560692,7.631950865,28.03750429,25.70881653,8.30561712
T47,8.001898268,7.808369656,28.05382241,26.83585464,4.341539459
